data,filial_id,filial_nome,produto_canonico,valor_total_brl,preco_medio_litro_brl,volume_estimado_litros
2025-03-01,F001,Posto Bandeirantes,Gasolina Comum,3115,6.29,495.23052464228937
2025-03-03,F001,Posto Bandeirantes,Gasolina Comum,3331,6.29,529.570747217806
2025-03-04,F001,Posto Bandeirantes,Gasolina Comum,3208,6.29,510.01589825119237
2025-03-05,F001,Posto Bandeirantes,Gasolina Comum,3423,6.29,544.1971383147853
2025-03-06,F001,Posto Bandeirantes,Gasolina Comum,3300,6.29,524.6422893481717
2025-03-07,F001,Posto Bandeirantes,Gasolina Comum,3177,6.29,505.08744038155805
2025-03-08,F001,Posto Bandeirantes,Gasolina Comum,3392,6.29,539.2686804451511
2025-03-10,F001,Posto Bandeirantes,Gasolina Comum,3269,6.29,519.7138314785374
2025-03-11,F001,Posto Bandeirantes,Gasolina Comum,3146,6.29,500.1589825119237
2025-03-12,F001,Posto Bandeirantes,Gasolina Comum,3362,6.29,534.4992050874404
2025-03-13,F001,Posto Bandeirantes,Gasolina Comum,3238,6.29,514.785373608903
2025-03-14,F001,Posto Bandeirantes,Gasolina Comum,3115,6.29,495.23052464228937
2025-03-15,F001,Posto Bandeirantes,Gasolina Comum,3331,6.29,529.570747217806
2025-03-17,F001,Posto Bandeirantes,Gasolina Comum,3208,6.29,510.01589825119237
2025-03-18,F001,Posto Bandeirantes,Gasolina Comum,3423,6.29,544.1971383147853
2025-03-19,F001,Posto Bandeirantes,Gasolina Comum,3300,6.29,524.6422893481717
2025-03-20,F001,Posto Bandeirantes,Gasolina Comum,3177,6.29,505.08744038155805
2025-03-21,F001,Posto Bandeirantes,Gasolina Comum,3392,6.29,539.2686804451511
2025-03-22,F001,Posto Bandeirantes,Gasolina Comum,3269,6.29,519.7138314785374
2025-03-24,F001,Posto Bandeirantes,Gasolina Comum,3146,6.29,500.1589825119237
2025-03-25,F001,Posto Bandeirantes,Gasolina Comum,3362,6.29,534.4992050874404
2025-03-26,F001,Posto Bandeirantes,Gasolina Comum,3238,6.29,514.785373608903
2025-03-27,F001,Posto Bandeirantes,Gasolina Comum,3115,6.29,495.23052464228937
2025-03-28,F001,Posto Bandeirantes,Gasolina Comum,3331,6.29,529.570747217806
2025-03-29,F001,Posto Bandeirantes,Gasolina Comum,3208,6.29,510.01589825119237
2025-03-31,F001,Posto Bandeirantes,Gasolina Comum,3424,6.29,544.356120826709
2025-03-01,F001,Posto Bandeirantes,Etanol,1558,4.11,379.07542579075425
